,score,player,gw,owner,team,owner_color
0,8.0,Aaron Wan-Bissaka,1.0,Liam Fariss,"Corner taken quickly, ORIGIII!",#32b4ff
1,9.0,Rui Pedro dos Santos Patrício,2.0,Liam Fariss,"Corner taken quickly, ORIGIII!",#32b4ff
2,13.0,Sébastien Haller,3.0,Liam Fariss,"Corner taken quickly, ORIGIII!",#32b4ff
3,15.0,Richarlison de Andrade,4.0,Liam Fariss,"Corner taken quickly, ORIGIII!",#32b4ff
4,10.0,Lukasz Fabianski,5.0,Liam Fariss,"Corner taken quickly, ORIGIII!",#32b4ff
5,8.0,Lukasz Fabianski,6.0,Liam Fariss,"Corner taken quickly, ORIGIII!",#32b4ff
6,9.0,Rui Pedro dos Santos Patrício,7.0,Liam Fariss,"Corner taken quickly, ORIGIII!",#32b4ff
7,6.0,Rui Pedro dos Santos Patrício,8.0,Liam Fariss,"Corner taken quickly, ORIGIII!",#32b4ff
8,7.0,Gabriel Fernando de Jesus,9.0,Liam Fariss,"Corner taken quickly, ORIGIII!",#32b4ff
9,6.0,Çaglar Söyüncü,10.0,Liam Fariss,"Corner taken quickly, ORIGIII!",#32b4ff
10,14.0,Çaglar Söyüncü,11.0,Liam Fariss,"Corner taken quickly, ORIGIII!",#32b4ff
11,10.0,Anthony Martial,12.0,Liam Fariss,"Corner taken quickly, ORIGIII!",#32b4ff
12,12.0,Alexandre Lacazette,13.0,Liam Fariss,"Corner taken quickly, ORIGIII!",#32b4ff
13,15.0,Bamidele Alli,14.0,Liam Fariss,"Corner taken quickly, ORIGIII!",#32b4ff
14,13.0,Gabriel Fernando de Jesus,15.0,Liam Fariss,"Corner taken quickly, ORIGIII!",#32b4ff
15,12.0,Nicolas Pépé,16.0,Liam Fariss,"Corner taken quickly, ORIGIII!",#32b4ff
16,9.0,Sébastien Haller,17.0,Liam Fariss,"Corner taken quickly, ORIGIII!",#32b4ff
17,8.0,Jack Grealish,18.0,Liam Fariss,"Corner taken quickly, ORIGIII!",#32b4ff
18,15.0,Anthony Martial,19.0,Liam Fariss,"Corner taken quickly, ORIGIII!",#32b4ff
19,8.0,Lewis Dunk,20.0,Liam Fariss,"Corner taken quickly, ORIGIII!",#32b4ff
20,13.0,Jack Grealish,21.0,Liam Fariss,"Corner taken quickly, ORIGIII!",#32b4ff
21,10.0,Richarlison de Andrade,22.0,Liam Fariss,"Corner taken quickly, ORIGIII!",#32b4ff
22,10.0,Jack Grealish,23.0,Liam Fariss,"Corner taken quickly, ORIGIII!",#32b4ff
23,11.0,Jordan Henderson,24.0,Liam Fariss,"Corner taken quickly, ORIGIII!",#32b4ff
24,18.0,Robert Snodgrass,25.0,Liam Fariss,"Corner taken quickly, ORIGIII!",#32b4ff
