code,colour_1,colour_2,colour_3,colour_4,colour_5,19_20_id,short_name,middle_name,long_name
91,#DA291C,#B50E12,#000000,#EFDBB2,#A89968,3,BOU,Bournemouth,Bournemouth
3,#EF0107,#DB0007,#063672,#9C824A,#FFFFFF,1,﻿ARS,Arsenal,Arsenal
36,#0057B8,#FFFFFF,,,,4,BHA,Brighton,Brighton & Hove Albion
90,#6C1D45,#99D6EA,,,,5,BUR,Burnley,Burnley
97,#0070B5,#D11524,,,,,,Cardiff,Cardiff City
8,#034694,#FFFFFF,#EE242C,#DBA111,#D1D3D4,6,CHE,Chelsea,Chelsea
31,#1B458F,#C4122E,#A7A5A6,,,7,CRY,Crystal Palace,Crystal Palace
11,#003399,#FFFFFF,,,,8,EVE,Everton,Everton
54,#FFFFFF,#000000,#CC0000,,,,,Fulham,Fulham
38,#0E63AD,#FFFFFF,,,,,,Huddersfield,Huddersfield
13,#003090,#FDBE11,#D4AF37,,,9,LEI,Leicester,Leicester
14,#C8102E,#FFFFFF,,,,10,LIV,Liverpool,Liverpool
43,#6CABDD,#FFFFFF,#FF66CC,,,11,MCI,Man City,Manchester City
1,#DA291C,#FFFFFF,#000000,,,12,MUN,Man United,Manchester United
4,#241F20,#FFFFFF,#41B6E6,,,13,NEW,Newcastle,Newcastle United
20,#D71920,#130C0E,#FFFFFF,,,16,SOU,Southampton,Southampton
6,#FFFFFF,#132257,,,,17,TOT,Spurs,Tottenham Hotspur
57,#FBEE23,#ED2127,#11210C,,,18,WAT,Watford,Watford
21,#7A263A,#1BB1E7,#F3D459,,,19,WHU,West Ham,West Ham United
39,#FDB913,#231F20,,,,20,WOL,Wolves,Wolverhampton Wanderers
7,#670E36,#95BFE5,#FEE505,,,2,AVL,Aston Villa,Aston Villa
45,#00A650,#fff200,,,,14,NOR,Norwich,Norwich City
49,#ec2227,#FFFFFF,#000000,,,15,SHU,Sheffield Utd,Sheffield United
