,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,position,team_name,friendly_name
0,0,0,0,,,0,69140,-1,1,-2,2,0.0,0,2,0.5,0.0,0,Shkodran,0.0,0,0,0.0,1,False,0.0,0,,,53,0,0,0,69140.jpg,0.0,0,0,Mustafi,0.4,False,a,1,3,0.0,0,4173,425,21698,1916,0.0,0.0,Mustafi,0,DEF,Arsenal,Shkodran Mustafi
1,0,0,0,0.0,0.0,0,98745,-1,1,-1,1,0.0,0,2,0.0,0.0,0,Héctor,0.0,0,0,0.0,2,False,0.0,0,Knee injury - Expected back 30 Sep,2019-06-25T11:30:06.897107Z,54,0,0,0,98745.jpg,0.0,0,0,Bellerín,0.1,False,i,1,3,0.0,0,837,186,4585,497,0.0,0.0,Bellerín,0,DEF,Arsenal,Héctor Bellerín
2,0,0,17,100.0,100.0,0,111457,0,0,-1,1,34.4,0,2,1.0,0.5,1,Sead,0.5,2,0,6.7,3,False,19.2,109,,2019-08-09T17:00:13.224645Z,54,0,0,0,111457.jpg,1.0,0,0,Kolasinac,0.8,False,a,1,3,13.0,2,8368,5202,54417,3422,0.1,0.4,Kolasinac,0,DEF,Arsenal,Sead Kolasinac
3,1,3,81,,,1,154043,0,0,1,-1,83.4,1,2,4.5,4.0,1,Ainsley,4.0,6,0,20.9,4,False,106.6,360,,,51,0,0,0,154043.jpg,4.0,0,0,Maitland-Niles,6.3,False,a,1,3,19.0,16,382407,46726,157450,27021,0.8,3.1,Maitland-Niles,0,DEF,Arsenal,Ainsley Maitland-Niles
4,0,2,73,,,1,39476,0,0,0,0,12.3,0,2,3.3,2.8,0,Sokratis,2.8,6,0,10.0,5,False,85.6,360,,,50,0,0,0,39476.jpg,2.8,0,0,Papastathopoulos,2.0,False,a,1,3,2.0,11,49637,10718,47922,9525,0.6,2.2,Sokratis,1,DEF,Arsenal,Sokratis Papastathopoulos
5,0,1,54,0.0,,1,38411,0,0,0,0,40.8,0,2,0.0,2.5,0,Nacho,2.5,4,0,10.0,6,False,47.2,270,Joined Real Sociedad on a permanent deal on 31/8,2019-08-31T11:30:14.661839Z,50,0,0,0,38411.jpg,3.3,0,0,Monreal,0.7,False,u,1,3,12.0,10,27781,74,55625,26887,0.5,2.0,Monreal,0,DEF,Arsenal,Nacho Monreal
6,0,0,0,0.0,0.0,0,51507,0,0,0,0,0.0,0,2,0.0,0.0,0,Laurent,0.0,0,0,0.0,7,False,0.0,0,Joined Bordeaux on a permanent deal on 6/8.,2019-08-08T11:00:09.045030Z,50,0,0,0,51507.jpg,0.0,0,0,Koscielny,0.1,False,u,1,3,0.0,0,203,51,10799,613,0.0,0.0,Koscielny,0,DEF,Arsenal,Laurent Koscielny
7,0,0,0,0.0,0.0,0,233963,0,0,-1,1,0.0,0,2,0.0,0.0,0,Konstantinos,0.0,0,0,0.0,8,False,0.0,0,Groin Injury - Expected back 30 Sep,2019-08-09T09:30:11.868345Z,44,0,0,0,233963.jpg,0.0,0,0,Mavropanos,0.0,False,i,1,3,0.0,0,156,29,2944,198,0.0,0.0,Mavropanos,0,DEF,Arsenal,Konstantinos Mavropanos
8,0,0,0,0.0,0.0,0,80254,0,0,0,0,0.0,0,2,0.0,0.0,0,Carl,0.0,0,0,0.0,9,False,0.0,0,Joined Nottingham Forest on a permanent deal on 7/8.,2019-08-07T17:00:10.875251Z,45,0,0,0,80254.jpg,0.0,0,0,Jenkinson,0.0,False,u,1,3,0.0,0,112,26,1864,174,0.0,0.0,Jenkinson,0,DEF,Arsenal,Carl Jenkinson
9,0,0,0,0.0,0.0,0,156074,0,0,0,0,0.0,0,2,0.0,0.0,0,Rob,0.0,0,0,0.0,10,False,0.0,0,Lack of match fitness - Unknown return date,2019-06-25T11:30:06.913215Z,45,0,0,0,156074.jpg,0.0,0,0,Holding,0.1,False,i,1,3,0.0,0,604,168,2776,319,0.0,0.0,Holding,0,DEF,Arsenal,Rob Holding
10,1,4,102,,,1,54694,0,0,0,0,77.3,0,4,7.0,6.5,9,Pierre-Emerick,6.5,6,3,42.6,11,False,134.4,360,,,110,0,0,0,54694.jpg,6.5,0,0,Aubameyang,22.3,False,a,1,3,215.0,26,327285,33203,614117,75243,0.6,2.4,Aubameyang,1,FWD,Arsenal,Pierre-Emerick Aubameyang
11,0,2,49,75.0,100.0,0,59966,-1,1,-1,1,24.4,0,4,3.0,3.5,5,Alexandre,3.5,3,2,23.3,12,False,78.8,145,Hamstring injury - 75% chance of playing,2019-09-01T18:30:14.246208Z,94,0,0,0,59966.jpg,4.7,0,0,Lacazette,2.9,False,d,1,3,129.0,14,68626,7093,126791,23583,0.4,1.5,Lacazette,1,FWD,Arsenal,Alexandre Lacazette
12,0,0,0,0.0,0.0,0,205533,0,0,-1,1,0.0,0,4,0.0,0.0,0,Edward,0.0,0,0,0.0,13,False,0.0,0,Joined Leeds United on loan until the end of the season on 8/8. - Expected back 01 Jul,2019-08-08T15:30:15.638344Z,44,0,0,0,205533.jpg,0.0,0,0,Nketiah,1.0,False,n,1,3,0.0,0,21211,7728,61709,8297,0.0,0.0,Nketiah,0,FWD,Arsenal,Edward Nketiah
13,0,1,76,,,1,80201,0,0,0,0,0.0,0,1,4.0,3.5,3,Bernd,3.5,6,0,9.3,14,False,93.0,360,,,50,0,0,0,80201.jpg,3.5,0,14,Leno,6.2,False,a,1,3,0.0,14,172862,16593,146534,17991,0.7,2.8,Leno,0,GK,Arsenal,Bernd Leno
